Date,Day,Employee_ID,Role,Shift,Hours_worked,Hourly_rate,Job_status,,,,,,,,,
2024-01-01,Monday,EID1,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-01,Monday,EID2,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-01,Monday,EID3,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-01,Monday,EID4,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-01,Monday,EID5,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-01,Monday,EID6,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-01,Monday,EID7,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-01,Monday,EID8,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-01,Monday,EID9,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-01,Monday,EID10,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-02,Tuesday,EID1,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-02,Tuesday,EID2,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-02,Tuesday,EID3,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-02,Tuesday,EID4,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-02,Tuesday,EID5,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-02,Tuesday,EID6,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-02,Tuesday,EID7,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-02,Tuesday,EID8,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-02,Tuesday,EID9,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-02,Tuesday,EID10,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-03,Wednesday,EID1,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-03,Wednesday,EID2,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-03,Wednesday,EID3,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-03,Wednesday,EID4,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-03,Wednesday,EID5,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-03,Wednesday,EID6,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-03,Wednesday,EID7,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-03,Wednesday,EID8,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-03,Wednesday,EID9,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-03,Wednesday,EID10,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-04,Thursday,EID1,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-04,Thursday,EID2,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-04,Thursday,EID3,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-04,Thursday,EID4,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-04,Thursday,EID5,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-04,Thursday,EID6,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-04,Thursday,EID7,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-04,Thursday,EID8,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-04,Thursday,EID9,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-04,Thursday,EID10,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-05,Friday,EID1,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-05,Friday,EID2,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-05,Friday,EID3,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-05,Friday,EID4,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-05,Friday,EID5,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-05,Friday,EID6,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-05,Friday,EID7,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-05,Friday,EID8,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-05,Friday,EID9,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-05,Friday,EID10,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-06,Saturday,EID1,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-06,Saturday,EID2,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-06,Saturday,EID3,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-06,Saturday,EID4,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-06,Saturday,EID5,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-06,Saturday,EID6,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-06,Saturday,EID7,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-06,Saturday,EID8,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-06,Saturday,EID9,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-06,Saturday,EID10,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-07,Sunday,EID1,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-07,Sunday,EID2,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-07,Sunday,EID3,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-07,Sunday,EID4,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-07,Sunday,EID5,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-07,Sunday,EID6,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-07,Sunday,EID7,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-07,Sunday,EID8,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-07,Sunday,EID9,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-07,Sunday,EID10,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-08,Monday,EID1,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-08,Monday,EID2,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-08,Monday,EID3,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-08,Monday,EID4,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-08,Monday,EID5,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-08,Monday,EID6,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-08,Monday,EID7,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-08,Monday,EID8,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-08,Monday,EID9,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-08,Monday,EID10,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-09,Tuesday,EID1,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-09,Tuesday,EID2,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-09,Tuesday,EID3,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-09,Tuesday,EID4,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-09,Tuesday,EID5,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-09,Tuesday,EID6,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-09,Tuesday,EID7,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-09,Tuesday,EID8,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-09,Tuesday,EID9,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-09,Tuesday,EID10,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-10,Wednesday,EID1,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-10,Wednesday,EID2,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-10,Wednesday,EID3,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-10,Wednesday,EID4,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-10,Wednesday,EID5,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-10,Wednesday,EID6,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-10,Wednesday,EID7,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-10,Wednesday,EID8,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-10,Wednesday,EID9,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-10,Wednesday,EID10,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-11,Thursday,EID1,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-11,Thursday,EID2,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-11,Thursday,EID3,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-11,Thursday,EID4,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-11,Thursday,EID5,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-11,Thursday,EID6,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-11,Thursday,EID7,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-11,Thursday,EID8,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-11,Thursday,EID9,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-11,Thursday,EID10,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-12,Friday,EID1,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-12,Friday,EID2,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-12,Friday,EID3,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-12,Friday,EID4,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-12,Friday,EID5,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-12,Friday,EID6,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-12,Friday,EID7,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-12,Friday,EID8,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-12,Friday,EID9,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-12,Friday,EID10,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-13,Saturday,EID1,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-13,Saturday,EID2,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-13,Saturday,EID3,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-13,Saturday,EID4,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-13,Saturday,EID5,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-13,Saturday,EID6,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-13,Saturday,EID7,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-13,Saturday,EID8,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-13,Saturday,EID9,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-13,Saturday,EID10,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-14,Sunday,EID1,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-14,Sunday,EID2,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-14,Sunday,EID3,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-14,Sunday,EID4,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-14,Sunday,EID5,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-14,Sunday,EID6,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-14,Sunday,EID7,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-14,Sunday,EID8,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-14,Sunday,EID9,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-14,Sunday,EID10,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-15,Monday,EID1,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-15,Monday,EID2,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-15,Monday,EID3,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-15,Monday,EID4,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-15,Monday,EID5,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-15,Monday,EID6,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-15,Monday,EID7,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-15,Monday,EID8,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-15,Monday,EID9,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-15,Monday,EID10,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-16,Tuesday,EID1,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-16,Tuesday,EID2,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-16,Tuesday,EID3,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-16,Tuesday,EID4,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-16,Tuesday,EID5,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-16,Tuesday,EID6,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-16,Tuesday,EID7,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-16,Tuesday,EID8,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-16,Tuesday,EID9,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-16,Tuesday,EID10,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-17,Wednesday,EID1,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-17,Wednesday,EID2,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-17,Wednesday,EID3,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-17,Wednesday,EID4,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-17,Wednesday,EID5,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-17,Wednesday,EID6,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-17,Wednesday,EID7,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-17,Wednesday,EID8,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-17,Wednesday,EID9,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-17,Wednesday,EID10,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-18,Thursday,EID1,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-18,Thursday,EID2,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-18,Thursday,EID3,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-18,Thursday,EID4,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-18,Thursday,EID5,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-18,Thursday,EID6,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-18,Thursday,EID7,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-18,Thursday,EID8,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-18,Thursday,EID9,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-18,Thursday,EID10,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-19,Friday,EID1,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-19,Friday,EID2,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-19,Friday,EID3,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-19,Friday,EID4,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-19,Friday,EID5,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-19,Friday,EID6,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-19,Friday,EID7,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-19,Friday,EID8,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-19,Friday,EID9,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-19,Friday,EID10,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-20,Saturday,EID1,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-20,Saturday,EID2,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-20,Saturday,EID3,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-20,Saturday,EID4,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-20,Saturday,EID5,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-20,Saturday,EID6,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-20,Saturday,EID7,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-20,Saturday,EID8,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-20,Saturday,EID9,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-20,Saturday,EID10,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-21,Sunday,EID1,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-21,Sunday,EID2,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-21,Sunday,EID3,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-21,Sunday,EID4,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-21,Sunday,EID5,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-21,Sunday,EID6,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-21,Sunday,EID7,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-21,Sunday,EID8,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-21,Sunday,EID9,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-21,Sunday,EID10,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-22,Monday,EID1,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-22,Monday,EID2,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-22,Monday,EID3,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-22,Monday,EID4,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-22,Monday,EID5,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-22,Monday,EID6,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-22,Monday,EID7,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-22,Monday,EID8,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-22,Monday,EID9,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-22,Monday,EID10,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-23,Tuesday,EID1,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-23,Tuesday,EID2,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-23,Tuesday,EID3,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-23,Tuesday,EID4,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-23,Tuesday,EID5,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-23,Tuesday,EID6,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-23,Tuesday,EID7,service,7pm - 10pm,3,14,Full-time,,,,,,,,,
2024-01-23,Tuesday,EID8,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-23,Tuesday,EID9,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-23,Tuesday,EID10,service,7pm - 10pm,3,13,Part-time,,,,,,,,,
2024-01-24,Wednesday,EID1,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-24,Wednesday,EID2,chef,7pm - 10pm,3,15,Full-time,,,,,,,,,
2024-01-24,Wednesday,EID3,dishwasher,7pm - 10pm,3,14,Full-time,,,,,,,,,
