Date,Day,Employee_ID,Shift,Role,Hours_worked,Hourly_rate,Job_status
2024-01-01,Monday,A1,10am-4.30pm,chef,6.5,17,full-time
2024-01-01,Monday,A3,10am-4.30pm,chef,6.5,17,full-time
2024-01-01,Monday,A4,10am-4.30pm,chef,6.5,17,full-time
2024-01-01,Monday,A5,10am-4.30pm,chef,6.5,17,full-time
2024-01-01,Monday,B2,10am-4.30pm,service,6.5,16,full-time
2024-01-01,Monday,C2,10am-4.30pm,dishwasher,6.5,16,full-time
2024-01-01,Monday,D1,10am-4.30pm,service,6.5,15,part-time
2024-01-01,Monday,D2,10am-4.30pm,service,6.5,15,part-time
2024-01-01,Monday,D3,10am-4.30pm,service,6.5,15,part-time
2024-01-01,Monday,A1,7pm-10pm,chef,3.0,17,full-time
2024-01-01,Monday,A3,7pm-10pm,chef,3.0,17,full-time
2024-01-01,Monday,B2,7pm-10pm,service,3.0,16,full-time
2024-01-01,Monday,C1,7pm-10pm,dishwasher,3.0,16,full-time
2024-01-01,Monday,D1,7pm-10pm,service,3.0,15,part-time
2024-01-01,Monday,D2,7pm-10pm,service,3.0,15,part-time
2024-01-01,Monday,D3,7pm-10pm,service,3.0,15,part-time
2024-01-01,Monday,A4,8pm-10pm,chef,2.0,17,full-time
2024-01-01,Monday,B4,8pm-10pm,service,2.0,16,full-time
2024-01-01,Monday,B5,8pm-10pm,service,2.0,16,full-time
2024-01-01,Monday,C2,8pm-10pm,dishwasher,2.0,16,full-time
2024-01-02,Thursday,A1,10am-4.30pm,chef,6.5,17,full-time
2024-01-02,Thursday,A3,10am-4.30pm,chef,6.5,17,full-time
2024-01-02,Thursday,A4,10am-4.30pm,chef,6.5,17,full-time
2024-01-02,Thursday,A5,10am-4.30pm,chef,6.5,17,full-time
2024-01-02,Thursday,B1,10am-4.30pm,service,6.5,16,full-time
2024-01-02,Thursday,C1,10am-4.30pm,dishwasher,6.5,16,full-time
2024-01-02,Thursday,D1,10am-4.30pm,service,6.5,15,part-time
2024-01-02,Thursday,D2,10am-4.30pm,service,6.5,15,part-time
2024-01-02,Thursday,D3,10am-4.30pm,service,6.5,15,part-time
2024-01-02,Thursday,A3,7pm-10pm,chef,3.0,17,full-time
2024-01-02,Thursday,A5,7pm-10pm,chef,3.0,17,full-time
2024-01-02,Thursday,B2,7pm-10pm,service,3.0,16,full-time
2024-01-02,Thursday,C1,7pm-10pm,dishwasher,3.0,16,full-time
2024-01-02,Thursday,D1,7pm-10pm,service,3.0,15,part-time
